complaint_text,category,subcategory,department,urgency
Streetlight not working at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Large potholes on Sector 15 street,Road,Potholes,Public Works Department,Medium
Public toilet in Sector 15 not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Uneven lane causing accidents at Civil Lines,Road,Potholes,Public Works Department,Medium
Large potholes on MG Road road,Road,Potholes,Public Works Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Uneven highway causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Waste lying unattended in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Low
Defective traffic signal in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,Medium
Waterlogging after heavy rain in Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Open sewage causing bad smell in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Dangerous hanging wires at Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Blocked manhole in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Clogged drain near Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Large potholes on Civil Lines road,Road,Potholes,Public Works Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Lamp post broken in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
No electricity supply since morning in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Low
Exposed live wire near Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Footpath tiles missing at Sector 15,Road,Footpath,Urban Development Department,Low
Damaged road surface near Sector 15,Road,Potholes,Public Works Department,Low
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Open sewage causing bad smell in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Public toilet in Civil Lines not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,Medium
Pipeline leaking on lane at MG Road,Water,Leakage,Water Supply Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Signal damaged at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Lamp post damaged in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Uneven highway causing accidents at Civil Lines,Road,Potholes,Public Works Department,Low
Unsafe sidewalk at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Uneven highway causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Overflowing dustbins in Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Drain blocked and water pooling at Civil Lines,Water,Waterlogging,Drainage Department,Medium
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Contaminated water from taps at Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Uneven street causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Low
Overflowing dustbins in Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Medium
Damaged lane surface near Sector 15,Road,Potholes,Public Works Department,Low
Pipeline leaking on road at Sector 15,Water,Leakage,Water Supply Department,High
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Uneven street causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Dark area due to faulty streetlights at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
No electricity supply since morning in Old Market,Electricity,PowerCut,Electricity Distribution Department,Medium
Pipeline leaking on lane at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Streetlight not working at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on highway at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Street flooded near Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Signal damaged at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Streetlight not working at Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Large potholes on Old Market road,Road,Potholes,Public Works Department,Medium
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Uneven highway causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Lamp post damaged in Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Medium
Flickering light pole at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Contaminated water from taps at Sector 15,Water,Quality,Water Quality Department,High
Loose electrical cables in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,Medium
Signal faulty at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Medium
Severe water leakage in Civil Lines,Water,Leakage,Water Supply Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Underground pipe burst at Sector 15,Water,Leakage,Water Supply Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Open sewage causing bad smell in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Rainwater accumulation at Sector 15,Water,Waterlogging,Drainage Department,Medium
Severe water leakage in Sanjay Nagar,Water,Leakage,Water Supply Department,High
Red light not functioning in Old Market,Road,TrafficSignal,Traffic Management Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
No water in public toilet at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,Medium
Water not safe for drinking in Old Market,Water,Quality,Water Quality Department,High
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Lamp post damaged in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
Broken pipeline flooding Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Public toilet in Civil Lines not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on lane at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Drain blocked and water pooling at Sector 15,Water,Waterlogging,Drainage Department,Medium
Flickering light pole at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Signal broken at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Trash scattered around Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Lamp post damaged in Old Market,Electricity,Streetlight,Municipal Lighting Department,Medium
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
